"","Lake_Name","SEAc","dY_range","dX_range","TA","CD","NND","SDNND","sampling_year","Area_ha","Secchi_depth","summer_air_temp","LaTro_CUE","NoPik_CUE","Burbo_CUE","Walle_CUE","LmBas_CUE","Muske_CUE","total_pred_CUE","log_area_ha","log_dY_range","log_dX_range","log_SEAc","log_LaTro_CUE","log_NND","log_SDNND","log_CD","log_total_pred_CUE"
"1","Atikwa",0.126345289069196,0.86485303697954,0.753106895124456,0.30385948044079,0.246329481077312,0.100597583817811,0.127990029290141,2010,5196.498535,4.5,18.4282608695652,0.546,0.503,0.371,0.587,0,0,1.461,8.55574031910791,-0.145195685930422,-0.283548102260847,-2.06873673061393,-0.605136303237232,-2.29662703932052,-2.05580291426736,-1.40108528521142,0.379121132768562
"2","Aylen",0.0361390897062404,1.49996908226579,0.147677754384027,0.0968364724312247,0.268240255361529,0.0674043014776972,0.103711834084466,2008,2104.572266,5.5,17.5304347826087,0.348,0,0.172,0,0,0,0.729,7.65186752641888,0.405444496072931,-1.91272271430185,-3.32038018211977,-1.05555279920766,-2.69704644295642,-2.26613905179609,-1.31587222483562,-0.316081546973479
"3","Big_Rideaux",0.0766212475720542,0.59180918000887,0.758741388945734,0.25107866533312,0.168463560751502,0.0867287719771816,0.10302707622246,2009,4583.948242,8.15,18.5173913043478,0.243,1.061,0.058,0.019,0.466,0,2.262,8.43031596731861,-0.524571027124053,-0.27609428567351,-2.56888085725208,-1.41469383564159,-2.444969593533,-2.27276344935211,-1.78103580924421,0.816249377693929
"4","Bluffpoint",0.0406212965486736,0.95407629915971,0.196430911081049,0.10413187432523,0.197234065280705,0.0535570137050393,0.0522495651670338,2010,503.7400818,3.74,18.7858695652174,1.012,0.846,0.374,0,0.082,0,1.302,6.22206042433258,-0.0470116325771003,-1.62744450704965,-3.20346280436654,0.0119285708652738,-2.92700851578082,-2.95172371033388,-1.62336410690111,0.263901543786378
"5","Cecil",0.126078780872736,0.62318956448233,0.846101822171674,0.384400767829022,0.231153831549026,0.113967136933945,0.0817044048449899,2009,1560.765503,NA,15.045652173913,1.623,1.078,0.06,0,0,0,1.138,7.35293168693753,-0.472904529619826,-0.167115569441338,-2.07084832239318,0.484276288532454,-2.1718451446554,-2.50464736369818,-1.46467185265662,0.129272335704139
"6","Charleston",0.0563319361647479,1.07500143211402,0.289300078221752,0.159543259740793,0.176749184214831,0.0747126032517829,0.102548360982561,2008,2642.400879,4,19.745652173913,0.678,0.397,0,0,0.161,0,1.725,7.87944320672866,0.0723219937778271,-1.24029079661726,-2.87649365484395,-0.388607991041741,-2.59410648284466,-2.27742077720911,-1.7330235896909,0.545227050483323
"7","Cliff",0.0555470005522342,0.86244895537995,0.431466987841423,0.178074257850366,0.164473840718765,0.0739446017893368,0.09284325843082,2009,2236.313477,3.75,15.2173913043478,0.54,0.093,0,2.34,0,0.054,2.614,7.71258401988681,-0.14797931399613,-0.840564276967226,-2.89052575981364,-0.616186139423817,-2.60443909060562,-2.37684260091885,-1.80500374440844,0.96088161520203
"8","Confusion",0.0930655643397147,0.91377906413287,0.501057511852174,0.208846412131506,0.240948569864482,0.0836473506727244,0.0799543746472883,2009,1462.985718,3.75,15.1891304347826,0.97,0.554,0,0.143,0,0.029,0.726,7.28823463883987,-0.0901664608914449,-0.691034390369497,-2.37445104131948,-0.0304592074847086,-2.48114552362618,-2.5262991239097,-1.4231717713171,-0.320205264157341
"9","Cross",0.00946461873597607,0.232174654181801,0.135913658818409,0.021079136578265,0.0733646979208584,0.0360896846104452,0.0170246239744888,2010,108.1861496,4.5,18.1608695652174,1.094,0,0,0,0,0.48,0.48,4.68385335082502,-1.46026537079334,-1.99573545648541,-4.6601947765927,0.0898407039997895,-3.32174819933916,-4.0730945138578,-2.6123124138142,-0.7339691750802
"10","Delaney",0.0262888501333777,0.45957318832542,0.281596756280929,0.0727799851317283,0.116013785123245,0.0373564431454119,0.0305651951870237,2009,1278.123657,5.38,15.5989130434783,0.806,0.204,0.812,0.052,0,0.094,1.78,7.15314838847267,-0.777457071686097,-1.26727917365334,-3.63861037899156,-0.215671536475509,-3.28724987504103,-3.48789332955672,-2.15404625766701,0.576613364303994
