"","Lake_Name","mean_LC_pred","mean_TP_pred","sampling_year","Area_ha","Secchi_depth","summer_air_temp","X.y","LaTro_CUE","NoPik_CUE","Burbo_CUE","Walle_CUE","LmBas_CUE","Muske_CUE","total_pred_CUE","log_area_ha","log_temp","sqrt_temp","log_mean_TP_pred","log_mean_LC_pred","log_LaTro_CUE","log_total_pred_CUE"
"1","Atikwa",0.294608076925984,4.52001973839929,2010,5196.498535,4.5,18.4282608695652,3,0.546,0.503,0.371,0.587,0,0,1.461,8.55574031910791,2.91388540312526,4.29281502857568,1.5085163607371,-1.22210935874429,-0.605136303237232,0.379121132768562
"2","Aylen",0.101233230868097,4.6054732177971,2008,2104.572266,5.5,17.5304347826087,4,0.348,0,0.172,0,0,0,0.729,7.65186752641888,2.86393850082801,4.18693620474551,1.52724542616426,-2.290328207768,-1.05555279920766,-0.316081546973479
"3","Big_Rideaux",0.547066450694756,4.93429762522326,2009,4583.948242,8.15,18.5173913043478,8,0.243,1.061,0.058,0.019,0.466,0,2.262,8.43031596731861,2.91871036100002,4.30318385667494,1.59621033757353,-0.603185001863998,-1.41469383564159,0.816249377693929
"4","Bluffpoint",0.124414084048963,4.65633264193695,2010,503.7400818,3.74,18.7858695652174,10,1.012,0.846,0.374,0,0.082,0,1.302,6.22206042433258,2.93310496835741,4.33426690055163,1.53822815159214,-2.08413988925781,0.0119285708652738,0.263901543786378
"5","Cecil",0.614315392213988,4.40821858923874,2009,1560.765503,NA,15.045652173913,12,1.623,1.078,0.06,0,0,0,1.138,7.35293168693753,2.71108905735872,3.8788725390135,1.48347065983135,-0.487246814616336,0.484276288532454,0.129272335704139
"6","Charleston",0.220344795758438,4.81130886000531,2008,2642.400879,4,19.745652173913,13,0.678,0.397,0,0,0.161,0,1.725,7.87944320672866,2.98293332401907,4.44360801308047,1.57096915936906,-1.51256170604231,-0.388607991041741,0.545227050483323
"7","Cliff",0.373187134767005,4.56472208405699,2009,2236.313477,3.75,15.2173913043478,15,0.54,0.093,0,2.34,0,0.054,2.614,7.71258401988681,2.72243893855431,3.90094748802747,1.51835763246904,-0.98567528336037,-0.616186139423817,0.96088161520203
"8","Confusion",0.36723686698478,4.67411468961852,2009,1462.985718,3.75,15.1891304347826,16,0.97,0.554,0,0.143,0,0.029,0.726,7.28823463883987,2.72058006906931,3.89732349629622,1.54203977360306,-1.00174822499022,-0.0304592074847086,-0.320205264157341
"9","Cross",0.181446288714744,4.6928674258917,2010,108.1861496,4.5,18.1608695652174,18,1.094,0,0,0,0,0.48,0.48,4.68385335082502,2.89926925557398,4.26155717610563,1.5460437870827,-1.70679559901945,0.0898407039997895,-0.7339691750802
"10","Delaney",0.253296639159351,4.3902126213446,2009,1278.123657,5.38,15.5989130434783,20,0.806,0.204,0.812,0.052,0,0.094,1.78,7.15314838847267,2.74720123512785,3.94954592877185,1.47937765902235,-1.3731939902846,-0.215671536475509,0.576613364303994
"11","Dogpaw",0.461655331426983,4.48288844886239,2010,1966.936157,3.86,18.7641304347826,21,0.322,0.866,0.01,0.398,0,0.133,1.458,7.58423236082114,2.93194709177346,4.33175835369225,1.50026758171903,-0.772936702195975,-1.13320373343773,0.377065633586466
"12","Dryberry",0.596812188553128,4.60366189419442,2010,10238.58496,7.5,18.5684782608696,22,0.35,0.191,0.195,0,0,0.062,0.551,9.23391870154473,2.92146542590397,4.30911571681123,1.52685205075951,-0.516152807122302,-1.04982212449868,-0.596020469829223
"13","Eva",0.260349212967952,4.68179762816209,2010,1726.177124,5,17.9304347826087,23,0.346,0.305,0.131,0,0,0,0.636,7.45366448746741,2.88649953621366,4.23443441118276,1.54368214476038,-1.34573142235474,-1.06131650392441,-0.452556715642015
"14","Kaiashkons",0.235981734143605,4.8645798814895,2010,2025.220215,6.65,18.8923913043478,26,0.494,0.165,0.922,0.222,0,0,1.522,7.61343372177614,2.93875926452039,4.34653785263027,1.58198035661407,-1.44400087464847,-0.705219761794215,0.420025259439494
"15","Kakagi",0.663464865551059,4.69913476776771,2010,11061.6709,8.6,18.8097826086957,27,0.433,0.012,0.982,0,0,0.012,1.117,9.31124133961487,2.93437708602636,4.33702462624963,1.54737839980469,-0.410279379813063,-0.837017550979647,0.110646520087064
"16","Katimiagamak",0.157744123719291,4.7265833769845,2010,1078.848267,5.3,18.6532608695652,28,0.479,0,1.197,0,0,0.068,1.367,6.98364933164402,2.92602097635922,4.3189421007424,1.55320261105026,-1.8467810288455,-0.736054681571222,0.312618557741813
"17","Lake_of_Bays",0.618709789275548,4.92690651685641,2008,6763.313477,4.3,17.6,30,0.198,0.025,0.314,0,0,0,1.182,8.8192682082677,2.86789890204411,4.19523539268061,1.59471130973791,-0.480118954240403,-1.6194882482876,0.167207918983906
"18","Longlegged",0.555885846525502,4.18162666082676,2009,6760.294434,3,14.9576086956522,31,0.257,0.817,0.129,5.358,0,0.037,6.341,8.81882172341395,2.7052201132222,3.86750678029815,1.43070032414399,-0.587192317815442,-1.35867919408692,1.84703648471789
"19","Lower_Manitou",0.207393415488889,4.76551964551519,2010,8871.666016,6.2,18.5271739130435,32,0.573,0.327,0.396,0.038,0,0,1.109,9.09061788359664,2.91923851452892,4.30432037760243,1.56140658583279,-1.57313773157454,-0.556869562267398,0.10345870836823
"20","Pickerel",0.349645462372602,4.51504634467624,2010,5355.734375,3.3,18.3141304347826,33,0.529,0.245,0.179,1.782,0,0,2.441,8.58592311166788,2.9076729167953,4.2795011899499,1.50741545141787,-1.05083560254381,-0.636766847123838,0.892407791410823
"21","Rosseau",0.166128324577021,4.88832118925556,2011,6297.369141,5.3,19.8891304347826,36,0.516,0.065,0.18,0.023,0,0,1.213,8.74788722849519,2.99017337319639,4.45972313431928,1.58684892946,-1.79499474964621,-0.661648513500574,0.193096629961913
"22","Silver",0.201331409983732,4.68158939169046,2010,2577.643,5.43,18.1565217391304,38,0.125,0.016,0.446,0,0,0,0.462,7.85463069446854,2.89902982063928,4.26104702381121,1.54363766588298,-1.602802922822,-2.07944154167984,-0.772190387900398
"23","Stormy",0.137227141451343,3.21344115711273,2010,3432.499512,4.5,18.2684782608696,39,0.77,0.515,0.185,0,0,0,0.7,8.14104399547169,2.90517707523348,4.27416404234437,1.16734237450945,-1.98611775926556,-0.261364764134408,-0.356674943938732
"24","Tadpole",0.283451115256199,4.75879162467409,2010,521.8063354,4.5,18.3010869565217,40,0.801,0.859,0.001,0,0,0,0.86,6.25729651406242,2.90696045461471,4.27797697007846,1.55999377565275,-1.26071560364133,-0.221894331913778,-0.150822889734584
"25","Upper_Manitou",0.322398895634882,4.61485974194315,2010,5310.433105,5.5,18.3782608695652,41,0.488,0.31,0.152,1.718,0,0,2.432,8.57742867493995,2.91116849164359,4.28698738854749,1.52928147571468,-1.13196569380565,-0.71743987312899,0.88871396410392
"26","Upper_Medicine_Stone",0.387523249422901,4.35524348275745,2009,1076.231812,2.35,14.8521739130435,42,0.213,0.178,0.883,1.242,0,0,2.303,6.98122115617986,2.69814624598527,3.85385182811217,1.47138051752635,-0.947979433477863,-1.54646311327271,0.834212620838548
"27","Victoria",0.362195987028781,4.11943622706309,2009,926.2330933,3.3,15.0760869565217,43,2.384,0.658,0,0,0,0,0.658,6.83112592359621,2.71310984326579,3.88279370512028,1.41571631590677,-1.01556981302882,0.868779749203103,-0.41855034765682
"28","Wapageisi",0.435774671528582,4.38762100044806,2010,1304.994019,5,18.2586956521739,45,0.63,0.049,0.215,0,0,0,0.264,7.17395373660453,2.90464144064249,4.27301950056092,1.47878716686141,-0.830629977645287,-0.462035459596559,-1.33180617583582
